Week Ending Date,State,Average Expected Count,Observed Number
2017-02-11,Missouri,1289,1327
2017-02-11,Montana,200,223
2017-02-11,Nebraska,340,422
2017-02-11,Nevada,497,522
2017-02-11,New Hampshire,240,259
2017-02-11,New Jersey,1466,1562
2017-02-11,New Mexico,373,435
2017-02-11,New York,3087,3286
2017-02-11,North Carolina,1879,1938
2017-02-11,North Dakota,142,142
2017-02-11,Ohio,2372,2652
2017-02-11,Oklahoma,809,867
2017-02-11,Oregon,725,787
2017-02-11,Pennsylvania,2708,2872
2017-02-11,Puerto Rico,592,601
2017-02-11,Rhode Island,212,257
2017-02-11,South Carolina,980,966
2017-02-11,South Dakota,158,196
2017-02-11,Tennessee,1468,1530
2017-02-11,Texas,4156,4188
2017-02-11,United States,56198,59164
2017-02-11,Utah,379,376
2017-02-11,Vermont,115,120
2017-02-11,Virginia,1332,1478
2017-02-11,Washington,1102,1226
2017-02-11,West Virginia,441,460
2017-02-11,Wisconsin,1047,1126
2017-02-11,Wyoming,88,88
2017-02-18,Alabama,1048,1060
2017-02-18,Alaska,82,80
2017-02-18,Arizona,1166,1138
2017-02-18,Arkansas,642,648
2017-02-18,California,5292,5621
2017-02-18,Colorado,775,798
2017-02-18,Connecticut,624,677
2017-02-18,Delaware,175,181
2017-02-18,District of Columbia,111,147
2017-02-18,Florida,4135,4295
2017-02-18,Georgia,1713,1662
2017-02-18,Hawaii,243,231
2017-02-18,Idaho,264,284
2017-02-18,Illinois,2112,2278
2017-02-18,Indiana,1304,1383
2017-02-18,Iowa,609,658
2017-02-18,Kansas,533,573
2017-02-18,Kentucky,945,969
2017-02-18,Louisiana,966,873
2017-02-18,Maine,282,279
2017-02-18,Maryland,998,1082
2017-02-18,Massachusetts,1196,1378
2017-02-18,Michigan,1970,1936
2017-02-18,Minnesota,857,963
2017-02-18,Mississippi,633,644
2017-02-18,Missouri,1289,1428
2017-02-18,Montana,200,220
2017-02-18,Nebraska,340,353
2017-02-18,Nevada,498,509
2017-02-18,New Hampshire,240,262
2017-02-18,New Jersey,1464,1582
2017-02-18,New Mexico,372,376
2017-02-18,New York,3078,3156
2017-02-18,North Carolina,1874,1881
2017-02-18,North Dakota,140,150
2017-02-18,Ohio,2388,2574
2017-02-18,Oklahoma,810,807
2017-02-18,Oregon,727,748
2017-02-18,Pennsylvania,2703,2993
2017-02-18,Puerto Rico,594,570
2017-02-18,Rhode Island,213,248
2017-02-18,South Carolina,982,986
2017-02-18,South Dakota,158,162
2017-02-18,Tennessee,1470,1490
2017-02-18,Texas,4130,4110
2017-02-18,United States,56022,58596
2017-02-18,Utah,381,365
2017-02-18,Vermont,116,114
2017-02-18,Virginia,1329,1376
2017-02-18,Washington,1103,1246
2017-02-18,West Virginia,446,461
2017-02-18,Wisconsin,1041,1071
2017-02-18,Wyoming,89,90
2017-02-25,Alabama,1043,1099
2017-02-25,Alaska,81,73
2017-02-25,Arizona,1164,1125
2017-02-25,Arkansas,635,657
2017-02-25,California,5241,5347
2017-02-25,Colorado,772,822
2017-02-25,Connecticut,622,678
2017-02-25,Delaware,175,178
2017-02-25,District of Columbia,111,125
2017-02-25,Florida,4142,4354
2017-02-25,Georgia,1709,1711
2017-02-25,Hawaii,244,220
2017-02-25,Idaho,265,291
2017-02-25,Illinois,2131,2225
2017-02-25,Indiana,1307,1425
2017-02-25,Iowa,604,603
2017-02-25,Kansas,529,585
2017-02-25,Kentucky,939,1033
2017-02-25,Louisiana,952,962
2017-02-25,Maine,280,295
2017-02-25,Maryland,988,1075
2017-02-25,Massachusetts,1199,1302
2017-02-25,Michigan,1962,1997
2017-02-25,Minnesota,859,880
2017-02-25,Mississippi,632,649
2017-02-25,Missouri,1289,1347
2017-02-25,Montana,200,246
2017-02-25,Nebraska,341,348
2017-02-25,Nevada,496,511
2017-02-25,New Hampshire,238,250
2017-02-25,New Jersey,1464,1581
2017-02-25,New Mexico,370,395
2017-02-25,New York,3065,3139
2017-02-25,North Carolina,1870,2004
2017-02-25,North Dakota,141,151
2017-02-25,Ohio,2372,2588
2017-02-25,Oklahoma,808,857
2017-02-25,Oregon,725,700
2017-02-25,Pennsylvania,2696,2889
2017-02-25,Puerto Rico,596,568
2017-02-25,Rhode Island,213,209
2017-02-25,South Carolina,975,964
2017-02-25,South Dakota,159,175
2017-02-25,Tennessee,1462,1478
2017-02-25,Texas,4099,4157
2017-02-25,United States,55853,58386
2017-02-25,Utah,378,391
2017-02-25,Vermont,114,118
2017-02-25,Virginia,1329,1432
2017-02-25,Washington,1104,1172
2017-02-25,West Virginia,442,466
2017-02-25,Wisconsin,1044,1024
2017-02-25,Wyoming,89,83
2017-03-04,Alabama,1039,1081
2017-03-04,Alaska,81,66
2017-03-04,Arizona,1160,1176
2017-03-04,Arkansas,631,662
2017-03-04,California,5213,5539
2017-03-04,Colorado,769,788
2017-03-04,Connecticut,621,614
2017-03-04,Delaware,174,178
2017-03-04,District of Columbia,110,133
2017-03-04,Florida,4116,4139
2017-03-04,Georgia,1699,1631
2017-03-04,Hawaii,245,222
2017-03-04,Idaho,264,284
2017-03-04,Illinois,2117,2132
2017-03-04,Indiana,1305,1421
2017-03-04,Iowa,601,626
2017-03-04,Kansas,529,530
2017-03-04,Kentucky,939,1016
2017-03-04,Louisiana,947,935
2017-03-04,Maine,283,280
2017-03-04,Maryland,983,998
2017-03-04,Massachusetts,1192,1244
2017-03-04,Michigan,1961,1957
2017-03-04,Minnesota,860,905
2017-03-04,Mississippi,628,635
2017-03-04,Missouri,1280,1342
2017-03-04,Montana,200,201
2017-03-04,Nebraska,342,327
2017-03-04,Nevada,497,515
2017-03-04,New Hampshire,235,247
2017-03-04,New Jersey,1460,1488
2017-03-04,New Mexico,367,375
2017-03-04,New York,3063,3028
2017-03-04,North Carolina,1859,1966
2017-03-04,North Dakota,143,151
2017-03-04,Ohio,2363,2533
2017-03-04,Oklahoma,808,827
2017-03-04,Oregon,719,764
2017-03-04,Pennsylvania,2683,2887
2017-03-04,Puerto Rico,595,560
2017-03-04,Rhode Island,213,236
2017-03-04,South Carolina,976,947
2017-03-04,South Dakota,158,165
2017-03-04,Tennessee,1458,1554
2017-03-04,Texas,4100,4087
2017-03-04,United States,55746,57360
2017-03-04,Utah,377,361
2017-03-04,Vermont,111,90
2017-03-04,Virginia,1327,1374
2017-03-04,Washington,1099,1153
2017-03-04,West Virginia,439,426
2017-03-04,Wisconsin,1043,1029
2017-03-04,Wyoming,88,95
2017-03-11,Alabama,1031,1011
2017-03-11,Alaska,81,74
2017-03-11,Arizona,1154,1169
2017-03-11,Arkansas,627,635
2017-03-11,California,5162,5432
2017-03-11,Colorado,761,817
2017-03-11,Connecticut,620,641
2017-03-11,Delaware,175,147
2017-03-11,District of Columbia,110,136
2017-03-11,Florida,4093,4314
2017-03-11,Georgia,1679,1676
2017-03-11,Hawaii,248,248
2017-03-11,Idaho,263,264
2017-03-11,Illinois,2085,2188
2017-03-11,Indiana,1291,1384
2017-03-11,Iowa,599,609
2017-03-11,Kansas,521,573
2017-03-11,Kentucky,931,969
2017-03-11,Louisiana,943,912
2017-03-11,Maine,283,308
2017-03-11,Maryland,985,983
2017-03-11,Massachusetts,1193,1254
2017-03-11,Michigan,1953,2035
2017-03-11,Minnesota,854,880
2017-03-11,Mississippi,623,598
2017-03-11,Missouri,1264,1300
2017-03-11,Montana,200,219
2017-03-11,Nebraska,341,331
2017-03-11,Nevada,491,489
2017-03-11,New Hampshire,234,276
2017-03-11,New Jersey,1462,1582
2017-03-11,New Mexico,367,378
2017-03-11,New York,3060,3097
2017-03-11,North Carolina,1851,1989
2017-03-11,North Dakota,142,142
2017-03-11,Ohio,2353,2515
2017-03-11,Oklahoma,805,784
2017-03-11,Oregon,718,759
2017-03-11,Pennsylvania,2693,2908
2017-03-11,Puerto Rico,596,614
2017-03-11,Rhode Island,212,203
2017-03-11,South Carolina,973,973
2017-03-11,South Dakota,154,162
2017-03-11,Tennessee,1457,1472
2017-03-11,Texas,4071,4158
2017-03-11,United States,55530,57598
2017-03-11,Utah,373,383
2017-03-11,Vermont,110,130
2017-03-11,Virginia,1331,1416
2017-03-11,Washington,1096,1121
2017-03-11,West Virginia,439,437
2017-03-11,Wisconsin,1043,1037
2017-03-11,Wyoming,86,80
2017-03-18,Alabama,1031,1067
2017-03-18,Alaska,80,84
2017-03-18,Arizona,1144,1209
2017-03-18,Arkansas,623,643
2017-03-18,California,5120,5386
2017-03-18,Colorado,760,796
2017-03-18,Connecticut,618,596
2017-03-18,Delaware,175,203
2017-03-18,District of Columbia,110,115
2017-03-18,Florida,4088,4067
2017-03-18,Georgia,1681,1695
2017-03-18,Hawaii,247,226
2017-03-18,Idaho,265,258
2017-03-18,Illinois,2064,2104
2017-03-18,Indiana,1269,1377
2017-03-18,Iowa,592,595
2017-03-18,Kansas,515,558
2017-03-18,Kentucky,927,973
2017-03-18,Louisiana,938,916
2017-03-18,Maine,282,327
2017-03-18,Maryland,975,952
2017-03-18,Massachusetts,1191,1184
2017-03-18,Michigan,1936,1986
2017-03-18,Minnesota,851,867
2017-03-18,Mississippi,618,683
2017-03-18,Missouri,1262,1298
2017-03-18,Montana,199,211
2017-03-18,Nebraska,340,367
2017-03-18,Nevada,489,547
2017-03-18,New Hampshire,232,233
2017-03-18,New Jersey,1455,1508
2017-03-18,New Mexico,367,390
2017-03-18,New York,3048,3121
2017-03-18,North Carolina,1825,1992
2017-03-18,North Dakota,141,140
2017-03-18,Ohio,2342,2495
2017-03-18,Oklahoma,801,843
2017-03-18,Oregon,712,716
2017-03-18,Pennsylvania,2684,2797
2017-03-18,Puerto Rico,591,551
2017-03-18,Rhode Island,213,201
2017-03-18,South Carolina,969,936
2017-03-18,South Dakota,155,170
2017-03-18,Tennessee,1443,1464
2017-03-18,Texas,4047,3953
2017-03-18,United States,55139,56781
2017-03-18,Utah,366,347
2017-03-18,Vermont,112,106
2017-03-18,Virginia,1319,1388
2017-03-18,Washington,1092,1097
2017-03-18,West Virginia,437,462
2017-03-18,Wisconsin,1031,1044
2017-03-18,Wyoming,88,88
2017-03-25,Alabama,1027,1068
2017-03-25,Alaska,80,92
2017-03-25,Arizona,1135,1189
2017-03-25,Arkansas,616,636
2017-03-25,California,5077,5156
2017-03-25,Colorado,752,773
2017-03-25,Connecticut,617,628
2017-03-25,Delaware,174,196
2017-03-25,District of Columbia,110,137
2017-03-25,Florida,4092,4357
2017-03-25,Georgia,1665,1694
2017-03-25,Hawaii,246,204
2017-03-25,Idaho,264,316
2017-03-25,Illinois,2068,2225
2017-03-25,Indiana,1271,1365
2017-03-25,Iowa,587,637
2017-03-25,Kansas,511,544
2017-03-25,Kentucky,920,974
2017-03-25,Louisiana,938,939
2017-03-25,Maine,282,284
2017-03-25,Maryland,967,1033
2017-03-25,Massachusetts,1189,1141
2017-03-25,Michigan,1928,1950
2017-03-25,Minnesota,847,949
2017-03-25,Mississippi,620,633
2017-03-25,Missouri,1258,1379
2017-03-25,Montana,197,218
2017-03-25,Nebraska,338,303
2017-03-25,Nevada,486,496
2017-03-25,New Hampshire,233,229
2017-03-25,New Jersey,1450,1445
2017-03-25,New Mexico,366,344
2017-03-25,New York,3020,3117
2017-03-25,North Carolina,1825,2012
2017-03-25,North Dakota,141,136
2017-03-25,Ohio,2326,2617
2017-03-25,Oklahoma,793,795
2017-03-25,Oregon,714,676
2017-03-25,Pennsylvania,2659,2781
2017-03-25,Puerto Rico,591,568
2017-03-25,Rhode Island,212,223
2017-03-25,South Carolina,965,994
2017-03-25,South Dakota,153,165
2017-03-25,Tennessee,1434,1489
2017-03-25,Texas,4022,3937
2017-03-25,United States,54967,57168
2017-03-25,Utah,364,397
2017-03-25,Vermont,112,133
2017-03-25,Virginia,1307,1381
2017-03-25,Washington,1092,1129
2017-03-25,West Virginia,433,480
2017-03-25,Wisconsin,1029,1082
2017-03-25,Wyoming,87,90
2017-04-01,Alabama,1022,991
2017-04-01,Alaska,81,89
2017-04-01,Arizona,1116,1127
2017-04-01,Arkansas,612,640
2017-04-01,California,5034,5166
2017-04-01,Colorado,747,773
2017-04-01,Connecticut,615,643
2017-04-01,Delaware,176,209
2017-04-01,District of Columbia,110,129
2017-04-01,Florida,4057,4140
2017-04-01,Georgia,1658,1756
2017-04-01,Hawaii,242,231
2017-04-01,Idaho,261,263
2017-04-01,Illinois,2051,2115
2017-04-01,Indiana,1274,1345
2017-04-01,Iowa,587,576
2017-04-01,Kansas,507,504
2017-04-01,Kentucky,922,965
2017-04-01,Louisiana,936,928
2017-04-01,Maine,282,319
2017-04-01,Maryland,969,996
2017-04-01,Massachusetts,1189,1220
2017-04-01,Michigan,1929,1939
2017-04-01,Minnesota,847,845
2017-04-01,Mississippi,620,567
2017-04-01,Missouri,1256,1265
2017-04-01,Montana,197,200
2017-04-01,Nebraska,338,341
2017-04-01,Nevada,480,485
2017-04-01,New Hampshire,233,234
2017-04-01,New Jersey,1441,1440
2017-04-01,New Mexico,361,331
2017-04-01,New York,3017,2932
2017-04-01,North Carolina,1823,1945
2017-04-01,North Dakota,142,140
2017-04-01,Ohio,2328,2531
2017-04-01,Oklahoma,790,737
2017-04-01,Oregon,712,673
2017-04-01,Pennsylvania,2648,2756
2017-04-01,Puerto Rico,590,541
2017-04-01,Rhode Island,211,213
2017-04-01,South Carolina,957,955
2017-04-01,South Dakota,151,181
2017-04-01,Tennessee,1430,1501
2017-04-01,Texas,4004,3955
2017-04-01,United States,54754,55829
2017-04-01,Utah,363,363
2017-04-01,Vermont,111,137
2017-04-01,Virginia,1309,1357
2017-04-01,Washington,1091,1088
2017-04-01,West Virginia,433,481
2017-04-01,Wisconsin,1029,1029
2017-04-01,Wyoming,86,83
2017-04-08,Alabama,1021,1037
2017-04-08,Alaska,80,78
2017-04-08,Arizona,1107,1171
2017-04-08,Arkansas,603,609
2017-04-08,California,5022,5194
2017-04-08,Colorado,734,772
2017-04-08,Connecticut,611,657
2017-04-08,Delaware,175,170
2017-04-08,District of Columbia,110,119
2017-04-08,Florida,4020,4106
2017-04-08,Georgia,1650,1596
2017-04-08,Hawaii,243,227
2017-04-08,Idaho,258,271
2017-04-08,Illinois,2022,2083
2017-04-08,Indiana,1261,1337
2017-04-08,Iowa,582,551
2017-04-08,Kansas,501,477
2017-04-08,Kentucky,916,949
2017-04-08,Louisiana,925,947
2017-04-08,Maine,281,327
2017-04-08,Maryland,958,979
2017-04-08,Massachusetts,1176,1219
2017-04-08,Michigan,1913,2009
2017-04-08,Minnesota,841,889
2017-04-08,Mississippi,615,614
2017-04-08,Missouri,1251,1189
2017-04-08,Montana,196,192
2017-04-08,Nebraska,336,317
2017-04-08,Nevada,477,478
2017-04-08,New Hampshire,232,245
2017-04-08,New Jersey,1438,1505
2017-04-08,New Mexico,357,370
2017-04-08,New York,3002,2845
2017-04-08,North Carolina,1821,1872
2017-04-08,North Dakota,142,167
2017-04-08,Ohio,2299,2510
2017-04-08,Oklahoma,782,750
2017-04-08,Oregon,710,665
2017-04-08,Pennsylvania,2644,2754
2017-04-08,Puerto Rico,587,564
2017-04-08,Rhode Island,210,202
2017-04-08,South Carolina,956,1000
2017-04-08,South Dakota,148,163
2017-04-08,Tennessee,1425,1428
2017-04-08,Texas,3984,3767
2017-04-08,United States,54440,55269
2017-04-08,Utah,363,351
2017-04-08,Vermont,110,99
2017-04-08,Virginia,1302,1310
2017-04-08,Washington,1088,1089
2017-04-08,West Virginia,433,468
2017-04-08,Wisconsin,1027,1065
2017-04-08,Wyoming,85,80
2017-04-15,Alabama,1013,1017
2017-04-15,Alaska,80,88
2017-04-15,Arizona,1097,1141
2017-04-15,Arkansas,602,634
2017-04-15,California,4968,5121
2017-04-15,Colorado,733,777
2017-04-15,Connecticut,606,632
2017-04-15,Delaware,175,178
2017-04-15,District of Columbia,109,123
2017-04-15,Florida,3993,4089
2017-04-15,Georgia,1639,1585
2017-04-15,Hawaii,241,213
2017-04-15,Idaho,260,283
2017-04-15,Illinois,2013,2120
2017-04-15,Indiana,1247,1342
2017-04-15,Iowa,574,611
2017-04-15,Kansas,496,495
2017-04-15,Kentucky,913,960
2017-04-15,Louisiana,918,845
2017-04-15,Maine,279,295
2017-04-15,Maryland,943,983
2017-04-15,Massachusetts,1162,1230
2017-04-15,Michigan,1888,1963
2017-04-15,Minnesota,834,946
2017-04-15,Mississippi,613,578
2017-04-15,Missouri,1245,1131
