Sex,CountryCode,Population,Age
b,POL,25547470,D15_64
b,POL,4217099,D65_74
b,POL,1917799,D75_84
b,POL,812121.01,D85p
f,PRT,676715,D0_14
f,PRT,3419308,D15_64
f,PRT,649932,D65_74
f,PRT,469006,D75_84
f,PRT,224542.09,D85p
m,PRT,705913,D0_14
m,PRT,3186668,D15_64
m,PRT,534181,D65_74
m,PRT,323007,D75_84
m,PRT,108979.95,D85p
b,PRT,1382628,D0_14
b,PRT,6605976,D15_64
b,PRT,1184113,D65_74
b,PRT,792013,D75_84
b,PRT,333522.04,D85p
f,RUS,11707961,D0_14
f,RUS,52354778,D15_64
f,RUS,6436744,D65_74
f,RUS,5233031.69,D75_84
f,RUS,1523938.31,D85p
m,RUS,12320386,D0_14
m,RUS,48145768,D15_64
m,RUS,3726408,D65_74
m,RUS,2126714.19,D75_84
m,RUS,396670.85000000003,D85p
b,RUS,24028347,D0_14
b,RUS,100500546,D15_64
b,RUS,10163152,D65_74
b,RUS,7359745.88,D75_84
b,RUS,1920609.16,D85p
f,SVK,420843,D0_14
f,SVK,1826899,D15_64
f,SVK,316299,D65_74
f,SVK,168638,D75_84
f,SVK,59844.06,D85p
m,SVK,442877,D0_14
m,SVK,1862079,D15_64
m,SVK,244347,D65_74
m,SVK,92315,D75_84
m,SVK,23731.93,D85p
b,SVK,863720,D0_14
b,SVK,3688978,D15_64
b,SVK,560646,D65_74
b,SVK,260953,D75_84
b,SVK,83575.99,D85p
f,SVN,153162,D0_14
f,SVN,649396,D15_64
f,SVN,120731,D65_74
f,SVN,82606,D75_84
f,SVN,38900.05,D85p
m,SVN,162640,D0_14
m,SVN,706659,D15_64
m,SVN,109873,D65_74
m,SVN,56658,D75_84
m,SVN,15235.949999999999,D85p
b,SVN,315802,D0_14
b,SVN,1356055,D15_64
b,SVN,230604,D65_74
b,SVN,139264,D75_84
b,SVN,54136,D85p
f,SWE,892117,D0_14
f,SWE,3149808,D15_64
f,SWE,553908,D65_74
f,SWE,392856,D75_84
f,SWE,167759,D85p
m,SWE,945681,D0_14
m,SWE,3303603,D15_64
m,SWE,533443,D65_74
m,SWE,345189,D75_84
m,SWE,94931,D85p
b,SWE,1837798,D0_14
b,SWE,6453411,D15_64
b,SWE,1087351,D65_74
b,SWE,738045,D75_84
b,SWE,262690,D85p
f,TWN,1446549,D0_14
f,TWN,8491510,D15_64
f,TWN,1151658,D65_74
f,TWN,586949,D75_84
f,TWN,221269.02,D85p
m,TWN,1563802,D0_14
m,TWN,8494133,D15_64
m,TWN,1028025,D65_74
m,TWN,449300,D75_84
m,TWN,169925.98,D85p
b,TWN,3010351,D0_14
b,TWN,16985643,D15_64
b,TWN,2179683,D65_74
b,TWN,1036249,D75_84
b,TWN,391195,D85p
f,USA,29424792.36,D0_14
f,USA,106596216.98,D15_64
f,USA,17080031.11,D65_74
f,USA,9106463.91,D75_84
f,USA,4286241.11,D85p
m,USA,30747315.15,D0_14
m,USA,106320732.31,D15_64
m,USA,14952611.26,D65_74
m,USA,7123157.4,D75_84
m,USA,2430754.24,D85p
b,USA,60172107.51,D0_14
b,USA,212916949.29,D15_64
b,USA,32032642.37,D65_74
b,USA,16229621.31,D75_84
b,USA,6716995.35,D85p
